Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,Image Src,Collection,SEO Title,SEO Description,Status
tap-cleaner-limescale-remover,Tap cleaner & limescale remover,"<p>Plant-powered tap cleaner that melts hard water stains without harsh acids.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"Best Seller, kitchen, bathroom",TRUE,Title,Default Title,PL-TAP-500,500,shopify,120,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Tap cleaner & limescale remover | Purelane,Removes limescale and hard water stains from taps and fittings.,active
kitchen-cleaner-foaming,Kitchen cleaner foaming,"<p>Foaming plant-based kitchen cleaner that lifts grease without scrubbing.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"Best Seller, kitchen",TRUE,Title,Default Title,PL-KIT-500,500,shopify,200,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Kitchen cleaner foaming | Purelane,Plant-powered foaming kitchen cleaner for Indian homes.,active
copper-bronze-brass-cleaner,Copper bronze & brass cleaner,"<p>Gentle metal cleaner for copper brass and bronze surfaces.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"Top Rated, kitchen",TRUE,Title,Default Title,PL-MET-250,350,shopify,85,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Copper bronze & brass cleaner | Purelane,Restore shine to metal cookware and fixtures.,active
washing-machine-cleaner-descaler,Washing machine cleaner & descaler,"<p>Descaler tablets that deep-clean washing machines and remove odour.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"New, laundry",TRUE,Title,Default Title,PL-WM-6,200,shopify,95,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Washing machine cleaner | Purelane,Keep your washing machine fresh and efficient.,active
laundry-detergent-non-toxic,Non-toxic laundry detergent,"<p>Plant-derived laundry detergent tough on odour soft on fabric.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"Best Seller, laundry",TRUE,Title,Default Title,PL-LAU-1KG,1000,shopify,150,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Laundry detergent | Purelane,Non-toxic laundry detergent for everyday washes.,active
natural-herbal-floor-cleaner,Natural herbal floor cleaner,"<p>Neem-powered floor cleaner safe around kids and pets.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"home, floor",TRUE,Title,Default Title,PL-FLR-1L,1000,shopify,110,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Floor cleaner | Purelane,Natural herbal floor cleaner for Indian homes.,active
non-toxic-toilet-cleaner,Non-toxic toilet cleaner,"<p>Plant-based toilet cleaner that kills 99.9% of germs.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"bathroom, home",TRUE,Title,Default Title,PL-TLT-500,500,shopify,130,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Toilet cleaner | Purelane,Non-toxic toilet cleaner with no harsh chlorine.,active
gentle-hydrating-liquid-handwash,Gentle hydrating liquid handwash,"<p>Moisturising handwash with plant cleansers and a clean fragrance.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"skin, handwash",TRUE,Title,Default Title,PL-HW-300,300,shopify,140,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Liquid handwash | Purelane,Gentle hydrating liquid handwash for daily use.,active
organic-dishwash-liquid-gel,Organic dishwash liquid gel,"<p>Cuts grease while staying kind to hands. Currently out of stock.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,"kitchen, dishwash",TRUE,Title,Default Title,PL-DSH-500,500,shopify,0,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Dishwash gel | Purelane,Organic dishwash liquid gel — sold out.,active
purelane-plant-powered-foaming-kitchen-cleaner-spray-extra-long-title,Purelane plant-powered foaming kitchen cleaner spray for grease grime and everyday mess with refillable 500ml bottle for Indian homes,"<p>Plant-powered foaming spray for everyday kitchen grease and grime. Refillable 500ml bottle.</p>",Purelane,Home & Garden > Household Supplies > Cleaning Supplies,Homecare,kitchen,TRUE,Title,Default Title,PL-LONG-NOIMG,500,shopify,50,deny,manual,200,299,TRUE,TRUE,FALSE,,bestsellers,Long title kitchen cleaner | Purelane,Plant-powered foaming kitchen cleaner spray for Indian homes.,active
